CI,Group,Subgroup,Detail,Description,Mode/Site Indicator,Duplicate Indicator
+,2,09,069,"Status Change (Replanning, Reallocation)",,
+,2,09,070,Mounting/ demounting of end walls,,
+,2,09,071,Setting brackets for loading on waggons,,
+,2,09,072,Small repairs,,
+,2,09,073,Supervision of container,,
+,2,09,074,Cargo survey ordered by ships crew,,
,2,10,000,  STORAGE CHARGES,,
,2,10,001,Storage 20 feet containers export,,
,2,10,002,Storage 30 feet containers export,,
,2,10,003,Storage 35 feet containers export,,
,2,10,004,Storage 40 feet containers export,,
,2,10,005,Storage 20 feet containers not shipbound,,
,2,10,006,Storage 30 feet containers not shipbound,,
,2,10,007,Storage 35 feet containers not shipbound,,
,2,10,008,Storage 40 feet containers not shipbound,,
,2,10,009,Storage 20 feet containers import,,
,2,10,010,Storage 30 feet containers import,,
,2,10,011,Storage 35 feet containers import,,
,2,10,012,Storage 40 feet containers import,,
,2,10,013,Storage 20 feet empty container,,
,2,10,014,Storage 30 feet empty container,,
,2,10,015,Storage 35 feet empty container,,
,2,10,016,Storage 40 feet empty container,,
,2,10,017,Storage 20 feet empty reefer container,,
,2,10,018,Storage 30 feet empty reefer container,,
,2,10,019,Storage 35 feet empty reefer container,,
,2,10,020,Storage 40 feet empty reefer container,,
,2,10,021,Storage 20 feet empty container export,,
,2,10,022,Storage 30 feet empty container export,,
,2,10,023,Storage 35 feet empty container export,,
,2,10,024,Storage 40 feet empty container export,,
,2,10,025,Storage 20 feet empty container import,,
,2,10,026,Storage 30 feet empty container import,,
,2,10,027,Storage 35 feet empty container import,,
,2,10,028,Storage 40 feet empty container import,,
,2,10,029,Storage 20 feet empty container export not shipbound delivered,,
,2,10,030,Storage 30 feet empty container export not shipbound delivered,,
,2,10,031,Storage 35 feet empty container export not shipbound delivered,,
,2,10,032,Storage 40 feet empty container export not shipbound delivered,,
,2,10,033,Storage of special units,,
,2,10,034,Storage of trailers,,
,2,10,035,Storage of tractors,,
,2,10,036,Storage of units on wheels,,
,2,10,037,Storage of unpacked lifts,,
,2,10,038,Storage of general cargo per ton per day,,
,2,10,039,Storage of general cargo per unit per day,,
,2,10,040,Storage of empty chassis,,D1
,2,10,041,Airline storage     ,(FF),D2
,2,10,041,Storage,,D3
,2,10,041,Storage         ,(FF),D4
,2,10,041,Storage charges     ,(10),D5
,2,10,041,Storage charges     ,(DD),
,2,10,042,Storage - destination,,
,2,10,043,Storage - origin,,
,2,10,044,Storage dues for special container empty,,
,2,10,045,Storage dues for special container empty,,
,2,10,046,Storage dues for 20 feet container empty,,
,2,10,047,Storage dues for 40 feet container empty,,
,2,10,048,Storage dues - additional charges,,
,2,10,049,Storage dues for over x times cargo measurement,,
,2,10,050,Storage 45 feet containers export,,
,2,10,051,Storage 45 feet containers not shipbound,,
,2,10,052,Storage 45 feet containers import,,
,2,10,053,Storage 45 feet empty container,,
,2,10,054,Storage 45 feet empty reefer container,,
,2,10,055,Storage 45 feet empty container export,,
,2,10,056,Storage 45 feet empty container import,,
,2,10,057,Storage 45 feet empty container export not shipbound delivered,,
,2,10,058,Storage dues for 45 feet container empty,,
,2,10,059,Storage full more than one month at terminal,,
,2,10,060,Yard occupancy charge ,,
+,2,10,061,Storage of any standard length container empty ,,
+,2,10,062,Storage of any standard length container empty special ,,
,2,11,000,  MAN HOURS CHARGES,,
,2,11,001,Terminal labour per hour,,
,2,11,002,Lashingman per hour,,
,2,11,003,Shed operators per hour,,
,2,11,004,Tug master drivers per hour,,
,2,11,005,Forktruck drivers per hour,,
,2,11,006,Radiomen per hour,,
,2,11,007,Traffic leaders per hour,,
,2,11,008,Van carrier drivers per hour,,
,2,11,009,Crane drivers per hour,,
,2,11,010,Technical men per hour,,
,2,11,011,Supervisors per hour,,
,2,11,012,Firemen per hour,,
,2,11,013,Guardmen,,
,2,11,014,Maintenance men per hour,,
,2,11,015,Terminal labour in overtime,,
,2,11,016,Lashing men in overtime,,
,2,11,017,Shed operators in overtime,,
,2,11,018,Tug master drivers in overtime,,
,2,11,019,Fork truck drivers in overtime,,
,2,11,020,Radiomen in overtime,,
,2,11,021,Traffic leaders in overtime,,
,2,11,022,Van carrier drivers in overtime,,
,2,11,023,Crane drivers in overtime,,
,2,11,024,Technical men in overtime,,
,2,11,025,Supervisors in overtime,,
,2,11,026,Firemen in overtime,,
,2,11,027,Guardmen in overtime,,
,2,11,028,Maintenance men in overtime,,
,2,11,029,Lashing in containers on board,,
,2,11,030,Additional charge for containerlashing on board,,
,2,11,031,Lashing in container on special shift,,
,2,11,032,Receiving 20 feet container empty - additional charges,,
,2,11,033,Receiving 40 feet container empty - additional charges,,
,2,11,034,Receiving 40 feet container full - additional charges,,
,2,11,035,Receiving 40 feet container full - additional charges,,
,2,11,036,Delivering 20 feet container empty - additional charges,,
,2,11,037,Delivering 40 feet container empty - additional charges,,
,2,11,038,Delivering 20 feet container full - additional charges,,
,2,11,039,Delivering 40 feet container full - additional charges,,
,2,11,040,Receiving 45 feet container empty - additional charges,,
,2,11,041,Receiving 45 feet container full - additional charges,,
,2,11,042,Receiving 45 feet container full - additional charges,,
,2,11,043,Delivering 45 feet container empty - additional charges,,
,2,11,044,Delivering 45 feet container full - additional charges,,
,2,12,000,  LABELLING AND MARKING,,
,2,12,001,"Labelling, repacking and allied services     ",(FF),
,2,12,002,Marking / labelling / removing marks or labels,,
,2,12,003,Relabelling/Repacking,,
,2,12,004,Container photo service,,
,2,13,000,  SORTING CHARGE,,
,2,13,001,Sorting out,,
,2,13,002,Assembly service fee,,
,2,13,003,Assistance during sampling and/or survey,,
,2,13,004,Cargo handling charges,,
,2,13,005,Charges for splitting and sorting consignments,,
,2,14,000,  PACKING CHARGE,,
,2,14,001,Packaging,,
,2,14,002,"Packing, repacking, marking",,
,2,14,003,"Palletizing, including pallets",,D1
,2,14,004,Handling charge,,D2
,2,14,004,Handling charges                 ,(FF),D3
,2,14,004,"Packaging (handling, etc.)            ",(40),
,2,15,000,  WEIGHING CHARGE,,
,2,15,001,Weigh / mark / labour charges,,D1
,2,15,002,Weighing - labour costs,,D2
,2,15,002,Weighing - superintending costs,,
,2,15,004,Weight control,,D1
,2,15,005,Weighing                     ,(10),D2
,2,15,005,Weighing (charge for)               ,(20),D3
,2,15,005,Weighing charges,,D4
,2,15,005,Weighing containers,(BB),
,2,15,006,Reweighing,,
,2,15,007,Public weighbridge charges            ,(FF),
,2,15,008,Rehandling of empty containers for weighing,,
,2,15,009,Weighing container-vehicle,,
,2,15,010,Weighing small container,,
,2,15,011,Weighing truck,,
,2,16,000,  MISCELLANEOUS HANDLING CHARGES,,
,2,16,001,Atmosphere/temperature suppl.fee,,
,2,16,002,Consolidated container allowance,,
,2,16,003,Container - delivery charges,,
,2,16,004,Container - rent,,
,2,16,005,Costs of official delivery into customs depot,,
,2,16,006,Extra move container,,
,2,16,007,Handling of hatchcovers DeepSea/ShortSea,,
,2,16,008,Handling of hatchcovers feeder,,
,2,16,009,Handling of hatchcovers on time-basis DeepSea/ShortSea,,
,2,16,010,Handling of hatchcovers on time-basis Feeder,,
,2,16,011,Handling of hatchcovers with chains DeepSea/ShortSea,,
,2,16,012,Handling of hatchcovers with chains Feeder,,
,2,16,013,Handling of hatchcovers in overtime,,
,2,16,014,Handling of hatchcovers with chains in overtime,,
,2,16,015,Handling/securing charge,,D1
,2,16,016,Immobilization,,D2
,2,16,016,Immobilization for loading and unloading     ,(30),D3
,2,16,016,Immobilization in transit / at border / customs station    ,(FF),D4
,2,16,016,Immobilization of stock other than waggons (charge for) ,(20),
,2,16,017,Lifting charges,,
,2,16,019,Movement within the port limits,,
,2,16,020,Neutralizing,,
,2,16,021,Pick-Up,,
,2,16,022,Priority handling,,
,2,16,023,Private siding at destination station (charge for),,
,2,16,024,Private siding at forwarding station (charge for),,
,2,16,025,Pumping charges,,
,2,16,026,Re-sampling,,
,2,16,027,Resolution 512B,,
,2,16,028,Sampling,,
,2,16,029,"Securing, lashing and chocking, etc. of traffic, as necessary",,
,2,16,030,Share discharging costs arrangement,,D1
,2,16,031,Shunting,,D2
,2,16,031,Shunting at forwarding station (charge for)    ,(20),D3
,2,16,031,Shunting wagons                  ,(10),
,2,16,032,Special stowage of cargo,,
,2,16,033,Splitting charges,,
,2,16,034,Stripping and stuffing container,,
,2,16,035,Stripping container and handling in for storage,,
,2,16,036,Stripping ex vehicle till free on truck incl. 1 month warehouserent,,
,2,16,037,Stripping lighter and handling in for storage,,
,2,16,038,Stripping railcar and handling in for storage,,
,2,16,039,Stripping truck and handling in for storage,,
,2,16,040,Surface charge - destination,,
,2,16,041,Tallying,,
,2,16,042,Transport in custody of customs,,
,2,16,044,Pick-Up charges,,
,2,16,045,Shunting charge at destination station,,
,2,16,046,Charge for use of lifting equipment,,
,2,16,047,Extra move container full,,
,2,16,048,Extra move for inspection,,
,2,16,049,Extra move container empty,,
,2,16,050,Extra move for repacking,,
,2,16,051,Extra move for stripping,,
,2,16,052,Extra move for stripping - round trip,,
,2,16,053,Handling dues as per agreement,,
,2,16,054,Loading heavy lifts,,
,2,16,055,Discharging heavy lifts,,
,2,16,056,Additional charges for heavy lifts,,
,2,16,057,Additional charges for over x times measurement of cargo lifts,,
,2,16,058,Stuffing 20 feet container,,
,2,16,059,Stuffing 40 feet container,,
,2,16,060,Partial stuffing,,
,2,16,061,Partial stuffing of 20 feet container,,
,2,16,062,Partial stuffing of 40 feet container,,
,2,16,063,Weight dues for stripping and stuffing container,,
,2,16,064,Container partially stuffed over x times measurement,,
,2,16,065,Stuffing of 20 feet containers with passenger cars,,
,2,16,066,Stuffing of 40 feet containers with passenger cars,,
,2,16,067,Rehandling of partially stuffed containers,,
,2,16,068,Collapsible flatracks,,
,2,16,069,Stripping 20 feet container,,
,2,16,070,Stripping 40 feet container,,
,2,16,071,Stuffing 45 feet container,,
,2,16,072,Partial stuffing of 45 feet container,,
,2,16,073,Stuffing of 45 feet containers with passenger cars,,
,2,16,074,Stripping 45 feet container,,
,2,16,075,Stripping of cars,,
,2,16,076,Renew T-documents,,
,2,16,077,Quay dues,,
,2,16,078,Firebrigade assistance,,
,2,16,079,"Use of liquid proof floor, per day",,
,2,16,080,Correction of labels,,
,2,16,081,Extra movements for IMO 1/7 containers,,
,2,16,082,Checking presence of gas,,
,2,16,083,Trucking and unstacking/stacking of containers,,
,2,16,084,Veterinarian inspection,,
,2,16,085,Extra handling charges for rolling tarpaulins,,
,2,16,086,Handling of automatic twistlocks,,
+,2,16,087,Setting/ removing of stacking cones/ twist locks,,
+,2,16,088,Supply of gangway,,
+,2,16,089,Freshwater supply ,,
+,2,16,090,Receival from authority inspection,,
+,2,16,091,Receival from authority inspection out of gauge,,
+,2,16,092,Delivery to authority inspection,,
+,2,16,093,Delivery to authority inspection out of gauge,,
+,2,16,094,Minimum fee for every order for which dues are payable,,
,3,00,000,    DOCUMENTATION CHARGES,,
,3,00,999,All documentation charges,,
,3,01,000,  TRADE DOCUMENTATION CHARGES,,D1
,3,01,001,Additional documentation charge,,D2
,3,01,001,Additional documentation charge          ,(10),D3
,3,01,001,Other administrative formalities (charge for)   ,(20),D1
,3,01,002,Administration charges,,D2
,3,01,002,Administration fee                ,(FF),D3
,3,01,002,Administration fee (Rouen),,D4
,3,01,002,Documentation/administration allowance      ,(DD),
,3,01,003,Carrier charges for customs formalities,,
,3,01,004,Black list certificate,,
,3,01,005,Black list statement,,
,3,01,006,Blank certificates of origin,,
,3,01,007,Blank consular invoices,,
,3,01,008,Certificate of accuracy,,
,3,01,009,Certified weight ticket (issued by sworn weighers),,
,3,01,010,Checking,,D1
,3,01,011,Communication charges,,D2
,3,01,011,Postage and telephone               ,(30),D3
,3,01,011,"Telex, telephone, telefax, postage costs     ",(DD),D4
,3,01,011,"Telex, telephone, telegrams, correspondence, photo-copy charges    ",(FF),
,3,01,012,Consular certificate fee,,D1
,3,01,013,Consular charges                 ,(FF),D2
,3,01,013,Consular fee,,
,3,01,014,Consular attendance,,
,3,01,015,Consular charges - Visas,,
,3,01,016,Consular charges - preparing printed forms,,
,3,01,017,Container administration fee,,
,3,01,018,Copies of customs documents,,
,3,01,019,Cost of accompanying documents,,
,3,01,020,Export documents (making out and/or presentation),,
,3,01,021,Freight documents,,
,3,01,022,Futile Trip,,
,3,01,023,Issuing non-manipulation certificate,,
,3,01,024,Issuing certificate of origin,,
,3,01,025,Issuing inspection certificate,,
,3,01,026,Issuing invoice on your letterheaded paper,,
,3,01,027,Issuing packinglist,,
,3,01,028,Issuing warrant,,
,3,01,029,Issuing/splitting EUR-certificate,,
,3,01,030,LCL container administration fee,,D1
,3,01,031,Legalization charges               ,(FF),D2
,3,01,031,Legalization Fee,,
,3,01,032,Manifest fee,,
,3,01,033,Mercantile marine tax,,
,3,01,034,Other documentary charges,,
,3,01,035,Preparing CCA (Charges Collect Advice),,
,3,01,036,Preparing documents,,
,3,01,037,Preparing and/or presentation of certificate of origin,,
,3,01,038,Preparing and/or presentation of export certificate,,
,3,01,039,Preparing and/or presentation of take over/acceptance certificate,,
,3,01,040,Preparing certificates of origin,,
,3,01,041,Preparing consular invoices,,
,3,01,042,Preparing copies of customs documents,,
,3,01,043,Stamps,,
,3,01,044,Transfer duty,,
,3,01,045,Consular manifest fee,,
,3,01,046,Blank bills of lading,,
,3,01,047,Charges T-Document,,D1
,3,01,048,Charges for the presentation of customs documents completion of a D.A.S.,,D2
,3,01,048,Customs clearance charges (Form DV1)       ,(DD),D3
,3,01,048,Customs documentation costs            ,(10),D4
,3,01,048,Customs formalities,,D5
,3,01,048,Customs Formalities                ,(DD),D6
,3,01,048,Customs formalities (charge for)         ,(20),D7
,3,01,048,Preparing EUR/ATR certificate of origin,,
,3,01,049,Clearance and handling - destination,,
,3,01,050,Clearance and handling - origin,,
,3,01,051,Customs certification charge,,
,3,01,052,Customs examination charges,,
,3,01,053,Customs Inspection beside opening hours,,
,3,01,054,Customs deferment,,
,3,01,055,Customs overtime,,
,3,01,056,EEC certificate attendance,,
,3,01,057,Foreign clearance fee,,
,3,01,058,Impos. of Taxes on Agricultural Products,,
,3,01,059,Issuing/splitting Int. Cocoa or Coffee Certificate,,
,3,01,060,Other dues,,
,3,01,061,Other taxes,,
,3,01,062,Port dues,,
,3,01,063,Price agreement tax,,
,3,01,064,Re-validity documents,,
,3,01,065,Release of goods,,
,3,01,066,Sealing charges,,
,3,01,067,Special duty,,
,3,01,068,T.V.A. transport sur parcours francais,,
,3,01,069,Transit customs declaration,,
,3,01,070,Mexican consular fee,,
,3,01,072,Customs clearing agent - Fees,,
,3,01,073,Costs of customs formalities in other countries,,
,3,01,074,Charge for customs formalities in the departure country,,
,3,01,075,Charge for customs formalities in the transit countries,,
,3,01,076,Charge for customs formalities in the arrival country,,
,3,01,077,Seal checking,,
,3,01,078,Preparing L/C (Letter of Credit) ,,
,3,02,000,  TRANSPORT DOCUMENTATION CHARGES,,
,3,02,001,Additional B/L charge,,
,3,02,002,Advice of arrival (charge for),,
,3,02,003,Advice of delivery (charge for),,D1
,3,02,004,Airwaybill fee                  ,(40),D2
,3,02,004,Preparing airwaybill               ,(FF),D3
,3,02,004,Preparing Bills of Lading             ,(10),D4
,3,02,004,Preparing Bs/L                  ,(DD),D5
,3,02,004,Preparing international transport document,,
,3,02,005,Bill of Lading transfer charge,,
,3,02,006,Bill of lading dues,,
,3,02,007,Issuing transport-document,,
,3,02,008,Preparing FCR-document,,
,3,02,009,Preparing FCT-document,,
,3,02,010,Preparing and attendance for a request for import license,,
,3,02,011,Preparing delivery-orders,,
,3,02,012,Preparing goods' receipt,,
,3,02,013,Preparing mate's receipt,,
,3,02,014,Redirection,,
,3,02,016,Cost of (computerized) customs clearance     ,(FF),
,3,02,017,Customs clearance export,,
,3,02,018,Customs clearance import,,
,4,00,000,    TRANSPORT EQUIPMENT CHARGES,,
,4,00,999,All transport equipment charges,,
,4,01,000,  TRANSPORT EQUIPMENT RENT,,
,4,01,001,Animal container,,
,4,01,003,Container detention charges,,
,4,01,004,Container hire,,
,4,01,005,Container rent/demurrage,,
,4,01,006,Empty equipment handover charge,,
,4,01,009,Special equipment (cool/deeploaders),,D1
,4,01,015,Use of Wagon-carrying Trailer (charge for),,D2
,4,01,015,Wagon demurrage charge,,
,4,01,016,Charge for immobilising of equipment other than wagons,,
,4,01,017,Charge for using a wagon-carrying trailer on departure,,
,4,01,018,Charge for using a wagon-carrying trailer on arrival,,
,4,02,000,  TRANSPORT ACCESSORIES RENT,,
,4,02,001,Chassishire,,
,4,02,002,Rent forklift truck,,
,4,02,003,Tarpaulin hire,,
,4,02,004,Trailer detention charges,,
,4,02,005,Trailer hire charges,,
,4,02,006,Charge for using heating equipment,,
,4,02,007,Trailer rental,,
,5,00,000,    CUSTOMS CHARGES,,
,5,00,999,All customs charges,,
,5,01,000,  CUSTOMS DUTY,,
,5,01,001,Bonded truck handling,,
,5,01,002,Border charges,,
,5,01,003,Customs attendance,,
,5,01,004,Customs costs,,D1
,5,01,005,Customs dues,,D2
,5,01,005,Customs dues       ,(30),D3
,5,01,005,Customs duties and other sums collected by customs other than VAT ,(20),D4
,5,01,005,Dues and duty      ,(FF),D1
,5,01,006,Customs fine       ,(DD),D2
,5,01,006,Customs fines,,D3
,5,01,006,Customs fines      ,(10),D4
,5,01,006,Customs fines for account of principal ,(FF),D1
,5,01,007,"Duties, taxes or excise ",(10),D2
,5,01,007,Restitution of Import Duties,,
,5,01,008,Suppl.Payment import duties,,D1
,5,01,009,Road Taxes                    ,(30),D2
,5,01,009,Taxes,,D3
,5,01,009,Taxes                       ,(40),D4
,5,01,009,"Taxes, Excise or Excise Duties          ",(FF),
,5,02,000,  VALUE ADDED TAX,,
,5,02,001,E.U.S.T.(Value of goods + duty),,D1
,5,02,002,Import duties                   ,(FF),D2
,5,02,002,Value added tax (VAT) collected by customs    ,(20),D3
,5,02,002,VAT,,
,5,02,003,Restitution of VAT,,
,5,02,004,Suppl.Payment of VAT,,
,5,02,005,Turnover tax (E.U.S.T.) on services for account of Consignor,,
,5,02,006,Turnover tax (E.U.S.T.) on transport charges in transit through France (in cases where this is paid to a third Union (EU),,
,6,00,000,    MISCELLANEOUS CHARGES,,
,6,00,018,Icing or re-icing charge,,
,6,00,926,Cleaning or disinfection charge,,
,6,00,999,All miscellaneous charges,,
,6,01,000,  TRANSPORT INSURANCE CHARGES,,
,6,01,001,Insurance - insured capital,,
,6,01,002,Insurance - insured risks,,D1
,6,01,003,Insurance charges,,D2
,6,01,003,Insurance charges                 ,(DD),D3
,6,01,003,Insurance costs                  ,(FF),D4
,6,01,003,Insurance or declaration of value (charge for)  ,(20),
,6,01,004,Insurance premium,,
,6,01,005,Insurance on goods in bonded warehouse,,
,6,01,006,Insurance on goods in bonded warehouse - fire,,
,6,01,007,Insurance on goods in bonded warehouse - other risks,,
,6,01,008,U.M.C.-tax (Dunkirk),,
,6,02,000,  WAREHOUSE INSURANCE CHARGES,,
,6,02,001,Warehouse insurance - fire,,
,6,02,002,Warehouse insurance - other risks,,
,6,02,003,Warehouse insurance charges,,
,6,03,000,  WAREHOUSE RENT,,
,6,03,001,Warehouse rent                  ,(30),
,6,03,002,Warehouse rent on goods which have remained in the transit area over the allotted free period,,
,6,03,003,Warehouse rent per cbm per month or part thereof,,
,6,03,004,Warehouse rent per cbm per week or part thereof,,
,6,03,005,Warehouse rent per month or part thereof,,
,6,03,006,Warehouse rent per package per month or part thereof,,
,6,03,007,Warehouse rent per package per week or part thereof,,
,6,03,008,Warehouse rent per ton per month or part thereof,,
,6,03,009,Warehouse rent per ton per week or part thereof,,
,6,03,010,Warehouse rent per week or part thereof,,
,6,04,000,  CUSTOMS WAREHOUSE RENT,,D1
,6,04,001,Customs warehouse rent              ,(FF),D2
,6,04,001,Warehousing,,D3
,6,04,001,Warehousing (charge for),,
,6,04,002,Charges for the use of a bonded warehouse,,
,6,05,000,  HANDLING ASSISTANCE TO CUSTOMS,,
,6,06,000,  ADMINISTRATION FEE,,D1
,6,06,003,Presentation (to customs) and handling charges  ,(FF),D2
,6,06,003,Presentation to customs,,
,6,06,004,Credit limitation fee,,
,6,06,005,Equalization Tax (Dunkirk),,
,6,06,006,Credit limitation,,
,6,06,007,Supervision during inspection/customs clearance,,
,6,06,008,Expenses declaration related to the value,,
,6,06,009,Expenses declaration related to the delivery,,
,6,06,010,Fee for each certificate,,
,6,06,011,Completion/ correction of data for dangerous goods,,
,6,06,012,Cancellation charge bonded warehouse,,
,6,06,013,Cancellation fee for train slots,,
,6,07,000,  DISBURSEMENT,,D1
,6,07,001,Charges prepaid and paid on delivery (disbursement/charges forward) ,(FF),D2
,6,07,001,Disbursements,,D3
,6,07,001,Shippers' disbursement              ,(30),
,6,08,000,  DISBURSEMENT FEE,,D1
,6,08,001,Advance fee,,D2
,6,08,001,Advance fee                    ,(30),D3
,6,08,001,Advanced money commission             ,(20),D4
,6,08,001,Advanced money commission             ,(FF),
,6,08,002,Collection fee disbursement,,D1
,6,08,003,Cash on delivery (charge for)           ,(20),D2
,6,08,003,Disbursement collection fee            ,(10),D3
,6,08,003,Disbursement collection fee            ,(30),D4
,6,08,003,Disbursement collection fee            ,(40),D5
,6,08,003,Disbursement fee,,
,6,09,000,  SURPLUS COST,,
,6,09,001,ATAF lumpsum,,
,6,09,002,Abandoning charges,,
,6,09,003,After trucking charges,,
,6,09,004,Agent's charges,,
,6,09,005,Agreed charges per month,,
,6,09,006,Airport charges,,
,6,09,007,Arrival hall handling,,D1
,6,09,008,Attendant                     ,(10),D2
,6,09,008,Attendant                     ,(DD),D3
,6,09,008,Care of animals,,D4
,6,09,008,Care of animals (charge for)           ,(20),D5
,6,09,008,Live animals                   ,(40),
,6,09,009,Bank (release) charges,,
,6,09,010,Bank release,,
,6,09,011,Bank guarantee charges,,
,6,09,012,Berthing dues,,
,6,09,013,C.O.D. Amount,,
,6,09,015,Caution fee,,
,6,09,016,Charges chamber of commerce,,
,6,09,017,Charges for truck returning empty,,
,6,09,018,Charges resulting from the fact of having to wait for the consignor to supply documents needed for the completion of formalities required by Customs or other authorities (cf. article 25/paragraph 3(1) of CIM),,
,6,09,019,Charges resulting from the fact that the consignor has entered in the consignment note particulars which are irregular/incorrect/incomplete or not in the allotted spaces (cf. article 18 of CIM),,
,6,09,020,Cleaning of vehicle,,
,6,09,022,Compensation for advance of credit to secure release of goods,,
,6,09,023,Compensation forwarding Amsterdam/Rotterdam,,
,6,09,024,Consignor - payment on delivery,,
,6,09,025,Consignor - payment on delivery (charges forward),,
,6,09,026,Container handling charge,,
,6,09,027,Contradictory verification (charge for),,
,6,09,028,Convoying (charge for),,
,6,09,029,Costs for guarantees undertaken,,
,6,09,030,Costs of services performed in other countries,,D1
,6,09,031,Counting or inspection of packages or animals (charge for)     ,(20),D2
,6,09,031,Examination of goods,,D1
,6,09,032,Examination of goods before customs clearance   ,(FF),D2
,6,09,032,Special supervision on cargo (charge for),,
,6,09,033,Examination on the spot of a cargo of long articles (charge for),,
,6,09,034,Examination on the spot of railway wagons on private bogies (charge for),,
,6,09,035,"Exceptional services performed, overtime",,
,6,09,036,FOA-charges,,
,6,09,037,FOB oceanport charges - all in,,
,6,09,038,Feeder addition discharging side,,
,6,09,039,Fees for consultancy,,
,6,09,040,Fees for measurement,,D1
,6,09,041,Fees for presentation for veterinary and/or phyto-sanitary examination ,(FF),D2
,6,09,041,Interference charges,,
,6,09,042,Fees for survey,,D1
,6,09,043,Financial charges,,D2
,6,09,043,"Financial charges on cash advanced, for guarantees undertaken or for international currency transfers ",(FF),
,6,09,044,For guarantees undertaken for export,,
,6,09,045,For guarantees undertaken for import,,
,6,09,046,For international currency transfers,,
,6,09,047,Forw.Resp.Cond.,,
,6,09,049,Free-in reduction,,
,6,09,050,Freight forwarders' liability insurance,,
,6,09,051,"From cif oceanport till free on truck, incl. 1 month warehouse rent",,
,6,09,052,From cif oceanport till stored in warehouse,,
,6,09,053,Guarantees and assay fees on precious metals,,
,6,09,054,Heli-charges survival suit,,
,6,09,055,Icing or re-icing (charge for),,D1
,6,09,056,Inspection charges,,D2
,6,09,056,Inspection charges / phyto-sanitary dues     ,(FF),D3
,6,09,056,"Sanitary, veterinary, phyto-sanitary inspection  ",(30),
,6,09,057,Inspection charges (AID),,
,6,09,058,Interest in delivery (charge for),,
,6,09,059,Change of axel (charge for),,
,6,09,060,Light dues,,
,6,09,061,Local haulage to warehouse,,
,6,09,062,Lumpsum,,
,6,09,063,Manifest charges,,
,6,09,064,Manpower Tax (Bordeaux),,
,6,09,065,Merchant haulage,,
,6,09,067,Miscellaneous - Due Agent,,
,6,09,068,Miscellaneous - Due Carrier,,
,6,09,069,Miscellaneous - Due Issuing Carrier,,
,6,09,070,Miscellaneous - Due Last Carrier,,
,6,09,071,Miscellaneous - Unassigned,,
,6,09,072,Orderpicking,,
,6,09,073,Other charges to be collected from the consignee,,
,6,09,074,Paid on arrival,,
,6,09,075,Phyto-sanitary dues,,
,6,09,077,Pilotage,,
,6,09,078,Port improvement charge,,
,6,09,079,Postal charges,,
,6,09,080,Pre shipment charges,,
,6,09,081,Pre trucking charges,,
,6,09,082,Prepaid charges,,
,6,09,083,Rail journey,,
,6,09,084,Railroad usage charge,,
,6,09,085,Railway station charges,,
,6,09,087,Remit Following Collection Fee (FRC),,
,6,09,088,Request free pass,,
,6,09,089,Royalties,,
,6,09,090,SVS/RVS,,
,6,09,091,Safe costs,,
,6,09,092,Security and surveillance charges,,
,6,09,093,Separate Early Release,,
,6,09,094,Shed/quay rent on goods which have remained in the transit area over the allotted free period,,
,6,09,095,Shed rent sea shed,,
,6,09,096,Shipping charges,,
,6,09,097,Shipping stowage reduction,,
,6,09,098,Signature Service,,
,6,09,099,Sling discount,,
,6,09,100,Special commission rebate,,
,6,09,101,Courier charges,,
,6,09,102,Stop in transit,,
,6,09,103,Sums collected by other administrative authorities,,
,6,09,104,Superintending charges on shipment,,
,6,09,105,Supplementary charges,,
,6,09,106,Tankcleaning charges,,
,6,09,107,Terminal fee,,
,6,09,111,Trucking discount,,
,6,09,112,Unassigned,,
,6,09,113,Unknown charges,,
,6,09,115,Valuation charges,,
,6,09,116,Veterinary fees,,
,6,09,117,Wharfage fee,,
,6,09,118,Wharfage tonnage dues,,
,6,09,119,Collection (charge for),,
,6,09,120,Distribution service fee,,
,6,09,122,On cash advanced,,
,6,09,123,Bank charges,,
,6,09,124,Shed rent,,
,6,09,125,Trucking,,
,6,09,126,Charges for reforwarding complete wagonloads emanating from or going to destination,,
,6,09,128,Other ancillary charges,,
,6,09,129,Other expenses,,
,6,09,130,Other charges to be collected from consignee,,
,6,09,131,Cleaning or desinfection charge,,
,6,09,132,Hire of workers,,
,6,09,133,Additional planner work,,
,6,09,134,Supplementary charges for Sundays,,
,6,09,135,Supplementary charges for special shift,,
,6,09,136,Telephone costs,,
,6,09,137,Sweeping 20 feet container,,
,6,09,138,Sweeping 40 feet container,,
,6,09,139,Disposal of rubbish after sweeping,,
,6,09,140,Use of shed space for gasifying,,
,6,09,141,Accident procedures when dangerous goods,,
,6,09,142,Extras used in accident procedures when dangerous goods ,,
,6,09,143,Former transport charges,,
,6,09,144,Sweeping 45 feet container,,
+,6,09,145,Waiting time at Customs X-Ray Station,,
